Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
179,Michael Estrada,FW,ec Ecuador,26,1996,2.5,71,1,2,46,23,7,71,2,3,66.7,6,2,59,9,Matches
180,Pervis Estupiñán,DF,ec Ecuador,24,1998,3.0,222,7,44,125,55,5,222,2,8,25.0,4,4,124,8,Matches
181,Stephen Eustáquio,MF,ca Canada,25,1996,1.4,110,8,17,70,23,1,110,1,1,100.0,0,2,77,2,Matches
182,Saeid Ezatolahi,MF,ir IR Iran,25,1996,2.4,116,6,33,67,20,1,116,0,1,0.0,5,0,62,1,Matches
183,Abdessamad Ezzalzouli,"FW,MF",ma Morocco,20,2001,1.0,40,2,17,9,16,5,40,1,2,50.0,9,1,18,3,Matches
184,Fabinho,MF,br Brazil,28,1993,1.0,64,4,13,45,7,0,64,0,0,,1,0,40,0,Matches
185,Collins Fai,DF,cm Cameroon,29,1992,3.0,169,8,49,85,38,0,169,0,2,0.0,1,0,86,2,Matches
186,Salman Al-Faraj,MF,sa Saudi Arabia,32,1989,0.5,20,0,1,12,7,0,20,0,0,,1,2,13,1,Matches
187,Christian Fassnacht,FW,ch Switzerland,28,1993,0.1,12,0,2,4,8,1,12,2,2,100.0,0,0,7,3,Matches
188,Abdul Fatawu Issahaku,FW,gh Ghana,18,2004,0.0,2,0,0,2,0,0,2,0,1,0.0,0,0,1,0,Matches
189,Ansu Fati,FW,es Spain,19,2002,0.5,34,0,2,8,24,5,34,0,2,0.0,1,0,29,6,Matches
190,João Félix,FW,pt Portugal,22,1999,3.7,156,1,12,66,81,13,156,2,8,25.0,5,0,131,21,Matches
191,Bruno Fernandes,"FW,MF",pt Portugal,27,1994,4.0,272,6,34,122,119,9,271,3,6,50.0,7,4,193,19,Matches
192,Edimilson Fernandes,"FW,DF",ch Switzerland,26,1996,1.6,96,5,27,37,33,1,96,0,1,0.0,2,3,58,5,Matches
193,Enzo Fernández,MF,ar Argentina,21,2001,6.3,535,16,104,354,80,5,535,3,6,50.0,9,7,417,4,Matches
194,Jesús Ferreira,FW,us United States,21,2000,0.5,24,0,2,9,13,1,24,0,1,0.0,0,1,19,2,Matches
195,Phil Foden,"FW,MF",eng England,22,2000,2.9,144,1,8,56,81,8,144,3,6,50.0,7,1,110,25,Matches
196,Youssouf Fofana,MF,fr France,23,1999,2.5,138,5,29,87,28,2,138,2,2,100.0,3,3,94,5,Matches
197,Juan Foyth,DF,ar Argentina,24,1998,0.1,5,0,1,3,1,0,5,1,1,100.0,1,0,2,1,Matches
198,Alan Franco,MF,ec Ecuador,23,1998,0.5,16,1,5,10,1,0,16,0,0,,1,0,9,0,Matches
199,Przemysław Frankowski,MF,pl Poland,27,1995,2.7,99,6,22,42,35,1,99,2,4,50.0,3,3,59,4,Matches
200,Fred,MF,br Brazil,29,1993,1.6,98,4,22,43,33,2,98,0,0,,3,1,67,5,Matches
201,Fabian Frei,MF,ch Switzerland,33,1989,0.3,16,1,7,9,0,0,16,0,0,,0,2,13,1,Matches
202,Remo Freuler,MF,ch Switzerland,30,1992,3.6,197,6,48,108,42,4,197,0,4,0.0,12,0,124,5,Matches
203,Keysher Fuller,"DF,MF",cr Costa Rica,27,1994,2.8,93,11,38,36,20,4,93,1,2,50.0,4,1,47,5,Matches
204,Niclas Füllkrug,FW,de Germany,29,1993,0.8,38,0,0,14,24,13,38,1,1,100.0,2,0,28,13,Matches
205,Rogelio Funes Mori,FW,mx Mexico,31,1991,0.1,2,0,0,1,1,0,2,0,0,,0,0,3,0,Matches
206,Cody Gakpo,"FW,MF",nl Netherlands,23,1999,5.0,212,5,21,73,123,7,212,5,13,38.5,16,9,132,18,Matches
207,Hernán Galíndez,GK,ec Ecuador,35,1987,3.0,76,62,76,0,0,0,76,0,0,,0,0,29,0,Matches
208,Jesús Gallardo,DF,mx Mexico,27,1994,3.0,170,7,55,77,39,3,170,3,4,75.0,5,0,76,8,Matches
209,Idrissa Gana Gueye,MF,sn Senegal,32,1989,3.0,158,7,25,71,63,5,158,1,2,50.0,2,5,100,9,Matches
210,Gavi,MF,es Spain,17,2004,3.2,185,3,12,116,57,7,185,3,7,42.9,8,5,153,18,Matches
