Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
641,Nikola Vlašić,"FW,MF",hr Croatia,24,1997,2.3,55,55,0,0,0,0,4,0,0,0,0,0,45,0,2,Matches
642,Mohammed Waad,"MF,DF",qa Qatar,22,1999,0.3,12,12,0,0,0,0,1,0,0,0,0,0,9,0,1,Matches
643,Kyle Walker,DF,eng England,32,1990,2.6,181,154,27,6,0,4,2,21,0,0,0,0,162,0,0,Matches
644,Danny Ward,GK,wls Wales,28,1993,1.0,39,25,14,5,0,0,0,0,0,0,0,0,24,0,0,Matches
645,Kendall Waston,DF,cr Costa Rica,34,1988,2.5,71,69,2,2,0,0,0,0,0,0,0,0,57,0,0,Matches
646,Timothy Weah,FW,us United States,22,2000,3.5,108,107,1,0,0,1,8,1,0,0,0,0,90,0,4,Matches
647,Wout Weghorst,FW,nl Netherlands,29,1992,0.7,15,15,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
648,Wéverton,GK,br Brazil,34,1987,0.1,5,2,3,1,0,0,0,0,0,0,0,0,3,0,0,Matches
649,Silvan Widmer,DF,ch Switzerland,29,1993,2.9,169,137,31,3,0,0,2,28,0,0,0,0,127,1,4,Matches
650,Iñaki Williams,FW,gh Ghana,27,1994,3.0,42,41,1,0,0,0,1,0,0,0,0,0,29,0,3,Matches
651,Neco Williams,DF,wls Wales,21,2001,2.3,101,75,26,0,0,2,5,26,0,0,0,0,69,0,5,Matches
652,Nico Williams,FW,es Spain,19,2002,1.6,63,60,2,0,1,0,6,2,0,0,0,0,50,1,2,Matches
653,Callum Wilson,FW,eng England,30,1992,0.5,10,9,1,0,0,0,0,0,0,0,0,0,9,0,0,Matches
654,Harry Wilson,"MF,FW",wls Wales,25,1997,1.8,64,56,8,4,1,1,9,0,4,4,0,0,48,0,1,Matches
655,Roan Wilson,MF,cr Costa Rica,20,2002,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
656,Axel Witsel,MF,be Belgium,33,1989,3.0,177,161,16,15,0,0,0,1,0,0,0,0,169,0,1,Matches
657,Jeong Woo-yeong,MF,kr Korea Republic,22,1999,0.5,15,13,1,0,0,0,1,0,0,0,0,0,12,1,0,Matches
658,Jung Woo-young,MF,kr Korea Republic,32,1989,3.4,211,208,1,1,0,5,1,0,0,0,0,0,178,2,3,Matches
659,Christopher Wooh,DF,cm Cameroon,20,2001,1.0,31,27,4,4,0,0,0,0,0,0,0,0,25,0,0,Matches
660,David Wotherspoon,MF,ca Canada,32,1990,0.2,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
661,Bailey Wright,DF,au Australia,29,1992,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
662,Haji Wright,FW,us United States,24,1998,1.5,27,24,3,0,0,0,1,0,0,0,0,0,20,0,1,Matches
663,Granit Xhaka,MF,ch Switzerland,29,1992,4.0,243,230,13,11,0,1,0,1,1,0,0,0,215,0,1,Matches
664,Miki Yamane,"DF,MF",jp Japan,28,1993,0.7,33,28,5,0,0,0,2,5,0,0,0,0,24,0,2,Matches
665,Jawad El Yamiq,DF,ma Morocco,30,1992,3.4,164,158,6,4,0,2,0,2,0,0,0,0,146,0,1,Matches
666,Taha Yassine Khenissi,FW,tn Tunisia,30,1992,0.3,6,6,0,0,0,0,0,0,0,0,0,0,2,0,2,Matches
667,DeAndre Yedlin,DF,us United States,28,1993,0.4,28,23,5,0,0,0,4,5,0,0,0,0,19,0,0,Matches
668,Maya Yoshida,DF,jp Japan,33,1988,4.3,232,227,5,4,0,1,0,0,0,0,0,0,198,0,0,Matches
669,Kim Young-gwon,DF,kr Korea Republic,32,1990,3.9,209,201,7,7,0,7,1,0,0,0,0,0,178,1,0,Matches
670,Cho Yumin,FW,kr Korea Republic,25,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
671,Denis Zakaria,MF,ch Switzerland,25,1996,0.7,23,21,2,2,0,0,0,0,0,0,0,0,20,0,0,Matches
672,Nicola Zalewski,MF,pl Poland,20,2002,0.7,17,16,1,1,0,0,1,0,0,0,0,0,15,0,0,Matches
673,Andre-Frank Zambo Anguissa,MF,cm Cameroon,26,1995,2.9,130,127,3,2,0,0,2,1,0,0,0,0,113,0,1,Matches
674,Álvaro Zamora,MF,cr Costa Rica,20,2002,0.3,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
675,Anass Zaroury,FW,ma Morocco,21,2000,0.3,13,13,0,0,0,0,3,0,0,0,0,0,8,0,1,Matches
676,Piotr Zieliński,"MF,FW",pl Poland,28,1994,3.6,153,128,25,8,0,3,16,0,9,3,6,0,124,0,1,Matches
677,Walker Zimmerman,DF,us United States,29,1993,3.1,244,239,4,3,0,0,0,1,0,0,0,0,217,1,3,Matches
678,Andrija Živković,DF,rs Serbia,25,1996,2.3,96,78,17,1,2,0,8,16,0,0,0,0,71,1,2,Matches
679,Hakim Ziyech,FW,ma Morocco,29,1993,7.1,306,260,42,24,0,15,30,7,11,5,2,0,211,4,8,Matches
680,Filip Đuričić,"MF,FW",rs Serbia,30,1992,0.2,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,Matches
