Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
386,Weston McKennie,MF,us United States,23,1998,3.0,0,5,1,20.0,1.66,0.33,0.00,0.00,15.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
387,Hannibal Mejbri,MF,tn Tunisia,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
388,Memphis,FW,nl Netherlands,28,1994,3.3,1,10,5,50.0,3.03,1.52,0.10,0.20,15.0,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
389,Nuno Mendes,DF,pt Portugal,19,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
390,Jhegson Méndez,MF,ec Ecuador,25,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
391,Edouard Mendy,GK,sn Senegal,30,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
392,Nampalys Mendy,MF,sn Senegal,29,1992,3.0,0,2,0,0.0,0.66,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
393,Gideon Mensah,DF,gh Ghana,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
394,Chris Mepham,DF,wls Wales,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
395,Yassine Meriah,DF,tn Tunisia,28,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
396,Dries Mertens,"MF,FW",be Belgium,35,1987,0.8,0,3,1,33.3,3.55,1.18,0.00,0.00,14.7,0,0,0,0.8,0.8,0.27,-0.8,-0.8,Matches
397,Lionel Messi,FW,ar Argentina,34,1987,7.7,7,27,13,48.1,3.52,1.70,0.11,0.23,20.9,3,4,5,6.6,2.7,0.10,+0.4,+0.3,Matches
398,Thomas Meunier,DF,be Belgium,30,1991,2.3,0,3,1,33.3,1.28,0.43,0.00,0.00,19.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
399,Nikola Milenković,DF,rs Serbia,24,1997,3.0,0,3,0,0.0,1.00,0.00,0.00,,14.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
400,Arkadiusz Milik,"FW,MF",pl Poland,28,1994,1.1,0,1,0,0.0,0.89,0.00,0.00,,9.0,0,0,0,0.2,0.2,0.25,-0.2,-0.2,Matches
401,Sergej Milinković-Savić,MF,rs Serbia,27,1995,2.6,1,3,1,33.3,1.16,0.39,0.33,1.00,23.9,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
402,Vanja Milinković-Savić,GK,rs Serbia,25,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
403,Éder Militão,DF,br Brazil,24,1998,3.9,0,5,1,20.0,1.30,0.26,0.00,0.00,20.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
404,Liam Millar,DF,ca Canada,22,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
405,Kamal Miller,DF,ca Canada,25,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
406,Kim Min-jae,DF,kr Korea Republic,25,1996,3.0,0,2,0,0.0,0.67,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
407,Takumi Minamino,FW,jp Japan,27,1995,0.7,0,2,1,50.0,3.00,1.50,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
408,Kaoru Mitoma,MF,jp Japan,25,1997,1.8,0,1,1,100.0,0.55,0.55,0.00,0.00,21.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
409,Aleksandar Mitrović,FW,rs Serbia,27,1994,2.9,2,10,3,30.0,3.44,1.03,0.20,0.67,14.1,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches
410,Stefan Mitrović,DF,rs Serbia,32,1990,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
411,Filip Mladenović,DF,rs Serbia,30,1991,0.7,0,1,0,0.0,1.38,0.00,0.00,,10.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
412,Luka Modrić,MF,hr Croatia,36,1985,7.3,0,6,4,66.7,0.83,0.55,0.00,0.00,21.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
413,Ismail Mohamad,FW,qa Qatar,32,1990,1.9,0,2,2,100.0,1.03,1.03,0.00,0.00,,,0,0,,,,,,Matches
414,Milad Mohammadi,DF,ir IR Iran,28,1993,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
415,Kudus Mohammed,"FW,MF",gh Ghana,21,2000,2.7,2,8,4,50.0,2.91,1.46,0.25,0.50,21.8,0,0,0,0.8,0.8,0.10,+1.2,+1.2,Matches
416,Sadegh Moharrami,DF,ir IR Iran,26,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
417,Nahuel Molina,DF,ar Argentina,24,1998,6.3,1,2,1,50.0,0.32,0.16,0.50,1.00,16.2,0,0,0,0.5,0.5,0.23,+0.5,+0.5,Matches
418,César Montes,DF,mx Mexico,25,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
419,Gonzalo Montiel,"DF,MF",ar Argentina,25,1997,1.3,0,1,0,0.0,0.76,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
420,Kim Moonhwan,DF,kr Korea Republic,26,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
421,Kieffer Moore,FW,wls Wales,29,1992,2.5,0,6,2,33.3,2.40,0.80,0.00,0.00,16.2,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
