Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
575,Remko Pasveer,GK,nl Netherlands,38,1983,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
576,Rui Patrício,GK,pt Portugal,34,1988,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
577,Benjamin Pavard,DF,fr France,26,1996,1,88,88,13.3,1.0,1,88,0,0,,6,3.00,4,1,+3,+3.07,+2.28,3.7,0.5,+3.2,+3.24,+3.13,Matches
578,Strahinja Pavlović,DF,rs Serbia,21,2001,3,235,78,87.0,2.6,3,78,2,0,,0,0.33,5,6,-1,-0.38,+4.76,2.9,6.3,-3.4,-1.30,+0.13,Matches
579,Pedri,MF,es Spain,19,2002,4,356,89,91.3,4.0,4,89,3,0,,0,1.25,6,3,+3,+0.76,-7.18,5.3,3.4,+1.9,+0.52,-0.69,Matches
580,Pedro,FW,br Brazil,24,1997,2,64,32,13.3,0.7,0,,0,2,32,3,0.50,1,2,-1,-1.41,-2.70,2.5,0.5,+2.0,+5.36,+3.77,Matches
581,Facundo Pellistri,"MF,FW",uy Uruguay,20,2001,3,181,60,67.0,2.0,2,76,0,1,29,0,1.33,2,1,+1,+0.50,+1.51,2.7,2.5,+0.2,+0.09,+0.13,Matches
582,Pepe,DF,pt Portugal,39,1983,4,360,90,80.0,4.0,4,90,4,0,,1,1.50,9,4,+5,+1.25,+0.25,5.8,5.6,+0.2,+0.05,-1.03,Matches
583,Danilo Pereira,DF,pt Portugal,30,1991,1,90,90,20.0,1.0,1,90,1,0,,0,3.00,3,2,+1,+1.00,-0.25,2.0,0.9,+1.1,+1.07,+1.03,Matches
584,Ivan Perišić,"FW,DF",hr Croatia,33,1989,7,669,96,97.0,7.4,7,96,4,0,,0,1.43,7,7,0,0.00,-4.29,6.2,11.0,-4.8,-0.68,-2.07,Matches
585,Bruno Petković,FW,hr Croatia,27,1994,6,234,39,33.9,2.6,1,61,0,5,35,1,1.50,4,3,+1,+0.38,+0.38,3.2,4.9,-1.7,-0.76,-0.33,Matches
586,Germán Pezzella,DF,ar Argentina,30,1991,3,60,20,8.7,0.7,0,,0,3,20,4,1.67,0,3,-3,-4.50,-5.93,1.2,1.5,-0.4,-1.32,-2.78,Matches
587,Kalvin Phillips,MF,eng England,26,1995,2,42,21,9.3,0.5,0,,0,2,21,3,3.00,1,0,+1,+2.14,+0.38,1.4,0.4,+0.9,+2.01,+1.20,Matches
588,Krzysztof Piątek,FW,pl Poland,26,1995,2,28,14,7.8,0.3,0,,0,2,14,2,1.50,1,0,+1,+3.21,+4.03,0.8,0.6,+0.2,+0.56,+1.35,Matches
589,Jordan Pickford,GK,eng England,28,1994,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,13,4,+9,+1.80,,8.7,4.0,+4.6,+0.92,,Matches
590,Samuel Piette,MF,ca Canada,27,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
591,Orbelín Pineda,MF,mx Mexico,26,1996,1,76,76,28.1,0.8,1,76,0,0,,2,3.00,2,0,+2,+2.37,+3.76,1.9,0.4,+1.4,+1.71,+1.96,Matches
592,Yeremi Pino,"FW,MF",es Spain,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
593,Gonzalo Plata,"MF,FW",ec Ecuador,21,2000,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,4,3,+1,+0.33,+0.33,3.7,2.6,+1.1,+0.37,-5.44,Matches
594,Nick Pope,GK,eng England,30,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
595,Jackson Porozo,DF,ec Ecuador,21,2000,2,96,48,35.6,1.1,1,90,1,1,6,1,0.50,1,1,0,0.00,-0.52,1.8,0.1,+1.6,+1.55,+1.79,Matches
596,Yussuf Poulsen,FW,dk Denmark,27,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
597,Morteza Pouraliganji,DF,ir IR Iran,30,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,4,7,-3,-1.00,,3.2,4.2,-0.9,-0.32,,Matches
598,Ángelo Preciado,DF,ec Ecuador,24,1998,3,264,88,97.8,2.9,3,88,2,0,,0,1.33,4,3,+1,+0.34,+0.34,3.6,2.5,+1.1,+0.37,-0.79,Matches
599,Ayrton Preciado,MF,ec Ecuador,27,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
600,Christian Pulisic,"FW,MF",us United States,23,1998,4,315,79,87.5,3.5,4,79,3,0,,0,1.25,3,4,-1,-0.29,-0.29,3.7,3.9,-0.2,-0.05,+0.15,Matches
601,Adrien Rabiot,MF,fr France,27,1995,6,483,81,73.2,5.4,5,91,4,1,28,0,2.17,13,6,+7,+1.30,+0.80,10.4,7.1,+3.3,+0.62,+0.34,Matches
602,Uroš Račić,MF,rs Serbia,24,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
603,Nemanja Radonjić,"DF,FW",rs Serbia,26,1996,3,60,20,22.2,0.7,0,,0,3,20,0,0.33,0,2,-2,-3.00,-2.57,0.4,1.7,-1.3,-1.93,-0.79,Matches
604,Baba Rahman,DF,gh Ghana,27,1994,3,183,61,67.8,2.0,2,90,2,1,3,0,1.00,2,5,-3,-1.48,-2.51,2.5,4.1,-1.6,-0.79,-0.96,Matches
605,Predrag Rajković,GK,rs Serbia,26,1995,0,,,0.0,0.0,0,,0,0,,2,0.00,2,3,-1,,,,,,,,Matches
